backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
native,4194304,9,2,366.2555830087513,,362.633
wasm2c,4194304,9,0,825.9584589977749,462.302,358.277
wasm2c,4194304,9,1,826.158486015629,462.523,358.316
wasm2c,4194304,9,2,826.1851750430651,462.663,358.102
process_rpclib,4194304,9,0,1168.9823979977518,773.57,363.266
process_rpclib,4194304,9,1,1127.003341971431,723.227,370.81
process_rpclib,4194304,9,2,1213.0932949949056,813.137,367.395
process_capnp,4194304,9,0,904.4162729987875,523.755,373.04
process_capnp,4194304,9,1,896.847477008123,522.906,366.64
process_capnp,4194304,9,2,894.5039230166003,516.162,369.804
native,16777216,1,0,304.5144339557737,,295.67
native,16777216,1,1,300.0017059966922,,290.751
native,16777216,1,2,275.1097989967093,,266.886
wasm2c,16777216,1,0,611.1565349856392,334.649,261.161
wasm2c,16777216,1,1,602.1942879888229,329.092,257.314
wasm2c,16777216,1,2,592.6761729642749,324.357,253.913
process_rpclib,16777216,1,0,1397.6910979836248,1084.844,268.26
process_rpclib,16777216,1,1,1640.1151380268857,1319.4,279.234
process_rpclib,16777216,1,2,1574.1748189902864,1252.606,275.174
process_capnp,16777216,1,0,1127.1449310006574,833.876,273.271
process_capnp,16777216,1,1,1194.7793650324456,847.74,328.115
process_capnp,16777216,1,2,1131.4942699973471,819.009,295.702
native,16777216,6,0,1439.6736630005762,,1431.681
native,16777216,6,1,1441.646318999119,,1433.708
native,16777216,6,2,1441.4796490455046,,1433.228
wasm2c,16777216,6,0,3326.627695001662,1865.107,1443.47
wasm2c,16777216,6,1,3333.4721110295504,1868.178,1447.919
wasm2c,16777216,6,2,3317.346861003898,1860.903,1439.389
process_rpclib,16777216,6,0,3832.3784910026006,2323.639,1460.742
process_rpclib,16777216,6,1,3865.0170759647153,2340.734,1466.443
process_rpclib,16777216,6,2,3926.6872529988177,2416.282,1463.286
process_capnp,16777216,6,0,3573.944143950939,2083.37,1469.329
process_capnp,16777216,6,1,3538.013861980289,2063.922,1454.013
process_capnp,16777216,6,2,3618.8734080060385,2098.459,1500.309
native,16777216,9,0,1436.0408369684592,,1426.197
