backend,size_bytes,level,shape,iter,wall_ms,compression_ms
native,1048576,9,loop,0,19.19917995110154,17.924
native,1048576,9,loop,1,19.713873974978924,18.172
native,1048576,9,loop,2,19.246608950197697,17.942
wasm2c,1048576,9,loop,0,23.088235058821738,21.212
wasm2c,1048576,9,loop,1,21.608914015814662,19.908
wasm2c,1048576,9,loop,2,23.125828010961413,21.411
process,1048576,9,loop,0,58.31398593727499,54.313
process,1048576,9,loop,1,63.47220798488706,59.717
process,1048576,9,loop,2,64.80577401816845,61.448
meta_process,1048576,9,loop,0,71.72875094693154,67.867
meta_process,1048576,9,loop,1,81.75073494203389,77.862
meta_process,1048576,9,loop,2,68.43550398480147,64.665
meta_wasm,1048576,9,loop,0,51.878539961762726,48.374
meta_wasm,1048576,9,loop,1,49.46089489385486,45.727
meta_wasm,1048576,9,loop,2,50.515481969341636,47.005
native,1048576,9,stress,0,19.19917995110154,17.924
native,1048576,9,stress,1,19.713873974978924,18.172
native,1048576,9,stress,2,19.246608950197697,17.942
wasm2c,1048576,9,stress,0,222.91224007494748,21.244
wasm2c,1048576,9,stress,1,22.50900201033801,20.169
wasm2c,1048576,9,stress,2,21.953357034362853,19.975
process,1048576,9,stress,0,37.04411897342652,32.817
process,1048576,9,stress,1,36.24306502752006,31.755
process,1048576,9,stress,2,39.45839300286025,34.987
native,4194304,1,loop,0,73.86623101774603,70.457
native,4194304,1,loop,1,75.87220706045628,73.643
native,4194304,1,loop,2,73.96742305718362,71.132
wasm2c,4194304,1,loop,0,83.2879520021379,79.607
wasm2c,4194304,1,loop,1,81.03871007915586,77.983
wasm2c,4194304,1,loop,2,80.03904693759978,77.575
process,4194304,1,loop,0,228.3223490230739,223.165
process,4194304,1,loop,1,219.09057500306517,210.209
process,4194304,1,loop,2,230.02263298258185,225.456
meta_process,4194304,1,loop,0,289.0304100001231,283.72
meta_process,4194304,1,loop,1,291.25388199463487,286.805
meta_process,4194304,1,loop,2,281.2706370605156,275.944
meta_wasm,4194304,1,loop,0,192.76967807672918,187.712
meta_wasm,4194304,1,loop,1,187.8086649812758,183.068
meta_wasm,4194304,1,loop,2,186.53494701720774,182.23
native,4194304,1,stress,0,73.86623101774603,70.457
native,4194304,1,stress,1,75.87220706045628,73.643
native,4194304,1,stress,2,73.96742305718362,71.132
wasm2c,4194304,1,stress,0,83.76958197914064,77.83
wasm2c,4194304,1,stress,1,86.56667498871684,80.059
wasm2c,4194304,1,stress,2,85.8960950281471,79.483
process,4194304,1,stress,0,127.56467191502452,118.673
process,4194304,1,stress,1,125.77790499199182,118.401
process,4194304,1,stress,2,125.87987503502518,118.521
native,4194304,6,loop,0,75.62483393121511,73.65
native,4194304,6,loop,1,78.61475890967995,75.727
native,4194304,6,loop,2,75.41436899919063,72.624
wasm2c,4194304,6,loop,0,85.41145699564368,81.715
wasm2c,4194304,6,loop,1,84.25274398177862,81.068
wasm2c,4194304,6,loop,2,83.67575390730053,80.168
process,4194304,6,loop,0,234.27596408873796,229.069
process,4194304,6,loop,1,226.57255304511636,221.329
process,4194304,6,loop,2,245.73194701224566,240.189
meta_process,4194304,6,loop,0,312.09096289239824,307.074
meta_process,4194304,6,loop,1,304.22769393771887,299.665
meta_process,4194304,6,loop,2,320.9562550764531,315.686
meta_wasm,4194304,6,loop,0,190.36837900057435,185.236
meta_wasm,4194304,6,loop,1,190.49037201330066,186.592
meta_wasm,4194304,6,loop,2,276.8769640242681,187.135
native,4194304,6,stress,0,75.62483393121511,73.65
native,4194304,6,stress,1,78.61475890967995,75.727
native,4194304,6,stress,2,75.41436899919063,72.624
wasm2c,4194304,6,stress,0,87.18423207756132,81.041
wasm2c,4194304,6,stress,1,87.77343609835953,81.462
wasm2c,4194304,6,stress,2,89.40603293012828,82.965
process,4194304,6,stress,0,127.35840096138418,118.892
process,4194304,6,stress,1,126.07977306470275,119.187
process,4194304,6,stress,2,125.20653009414673,119.315
native,4194304,9,loop,0,80.91572998091578,77.912
native,4194304,9,loop,1,87.70383498631418,74.686
native,4194304,9,loop,2,88.39234197512269,73.148
wasm2c,4194304,9,loop,0,86.71098994091153,83.211
wasm2c,4194304,9,loop,1,82.74964499287307,79.672
wasm2c,4194304,9,loop,2,86.33614506106824,82.415
process,4194304,9,loop,0,216.48309205193073,211.721
process,4194304,9,loop,1,211.9848580332473,207.403
process,4194304,9,loop,2,227.4179089581594,223.024
meta_process,4194304,9,loop,0,269.8008620645851,264.525
meta_process,4194304,9,loop,1,271.58204396255314,266.967
meta_process,4194304,9,loop,2,277.57408504839987,272.487
meta_wasm,4194304,9,loop,0,191.01491197943687,185.798
meta_wasm,4194304,9,loop,1,186.48175103589892,182.813
meta_wasm,4194304,9,loop,2,187.1952610090375,182.814
native,4194304,9,stress,0,80.91572998091578,77.912
native,4194304,9,stress,1,87.70383498631418,74.686
native,4194304,9,stress,2,88.39234197512269,73.148
wasm2c,4194304,9,stress,0,85.12721699662507,80.281
wasm2c,4194304,9,stress,1,85.47151100356132,80.239
wasm2c,4194304,9,stress,2,94.65154900681227,87.643
process,4194304,9,stress,0,127.92994093615562,120.083
process,4194304,9,stress,1,132.91821407619864,125.856
process,4194304,9,stress,2,127.27812095545232,119.565
native,16777216,1,loop,0,293.3849049732089,286.334
native,16777216,1,loop,1,289.2731799511239,282.826
native,16777216,1,loop,2,288.2231930270791,281.772
wasm2c,16777216,1,loop,0,320.67487202584743,312.011
wasm2c,16777216,1,loop,1,325.4378029378131,318.059
wasm2c,16777216,1,loop,2,321.1747430032119,314.024
process,16777216,1,loop,0,906.9289969047531,897.904
process,16777216,1,loop,1,904.6416060300544,894.646
process,16777216,1,loop,2,872.8437180398032,863.947
meta_process,16777216,1,loop,0,1081.4160029403865,1072.584
meta_process,16777216,1,loop,1,1071.9289280241355,1062.621
meta_process,16777216,1,loop,2,1147.9032459901646,1138.315
meta_wasm,16777216,1,loop,0,735.5548270279542,728.448
meta_wasm,16777216,1,loop,1,735.82880909089,727.236
meta_wasm,16777216,1,loop,2,729.1842310223728,723.054
native,16777216,1,stress,0,293.3849049732089,286.334
native,16777216,1,stress,1,289.2731799511239,282.826
native,16777216,1,stress,2,288.2231930270791,281.772
wasm2c,16777216,1,stress,0,333.0468600615859,317.33
wasm2c,16777216,1,stress,1,334.57457402255386,315.748
wasm2c,16777216,1,stress,2,327.5894880061969,312.073
process,16777216,1,stress,0,487.3340140329674,469.176
process,16777216,1,stress,1,490.98462506663054,471.537
process,16777216,1,stress,2,491.64547899272293,469.073
native,16777216,6,loop,0,298.3532689977437,290.462
native,16777216,6,loop,1,299.27873506676406,290.854
native,16777216,6,loop,2,376.793002942577,369.062
wasm2c,16777216,6,loop,0,331.9029009435326,324.735
wasm2c,16777216,6,loop,1,494.5898079313338,320.471
wasm2c,16777216,6,loop,2,393.4905549976975,384.965
process,16777216,6,loop,0,917.3733670031652,907.588
process,16777216,6,loop,1,941.5711699984968,932.863
process,16777216,6,loop,2,842.4659440061077,832.913
meta_process,16777216,6,loop,0,1084.2755190096796,1075.327
meta_process,16777216,6,loop,1,1073.4310109401122,1063.487
meta_process,16777216,6,loop,2,1114.8345019901171,1104.992
meta_wasm,16777216,6,loop,0,742.0326250139624,733.99
meta_wasm,16777216,6,loop,1,753.097758977674,743.386
meta_wasm,16777216,6,loop,2,743.914503022097,735.712
native,16777216,6,stress,0,298.3532689977437,290.462
native,16777216,6,stress,1,299.27873506676406,290.854
native,16777216,6,stress,2,376.793002942577,369.062
wasm2c,16777216,6,stress,0,341.8247599620372,324.555
wasm2c,16777216,6,stress,1,338.560672942549,322.184
wasm2c,16777216,6,stress,2,336.57950395718217,321.527
process,16777216,6,stress,0,497.97225499060005,475.738
process,16777216,6,stress,1,496.4425670914352,477.116
process,16777216,6,stress,2,491.89248390030116,473.639
native,16777216,9,loop,0,298.4507550718263,291.651
native,16777216,9,loop,1,296.021222951822,289.297
native,16777216,9,loop,2,299.95061201043427,293.31
wasm2c,16777216,9,loop,0,331.36628998909146,323.448
wasm2c,16777216,9,loop,1,326.34307409171015,318.5
wasm2c,16777216,9,loop,2,334.66936694458127,325.615
process,16777216,9,loop,0,833.5265069035813,823.384
process,16777216,9,loop,1,914.446400012821,904.038
process,16777216,9,loop,2,892.2544550150633,883.53
meta_process,16777216,9,loop,0,1161.270121927373,1151.347
meta_process,16777216,9,loop,1,1151.1154880281538,1141.932
meta_process,16777216,9,loop,2,1206.7606779746711,1198.044
meta_wasm,16777216,9,loop,0,738.4784519672394,730.369
meta_wasm,16777216,9,loop,1,738.3303120732307,731.44
meta_wasm,16777216,9,loop,2,740.6585579738021,732.797
native,16777216,9,stress,0,298.4507550718263,291.651
native,16777216,9,stress,1,296.021222951822,289.297
native,16777216,9,stress,2,299.95061201043427,293.31
wasm2c,16777216,9,stress,0,346.8538529705256,328.217
wasm2c,16777216,9,stress,1,339.9148329626769,324.403
wasm2c,16777216,9,stress,2,340.7147580292076,323.595
process,16777216,9,stress,0,495.86975295096636,478.655
process,16777216,9,stress,1,496.48291303310543,474.08
process,16777216,9,stress,2,495.50728499889374,475.045
meta_adaptive,262144,1,loop,0,15.731586958281696,12.656
meta_adaptive,262144,1,loop,1,14.654192025773227,11.641
meta_adaptive,262144,1,loop,2,14.438931946642697,11.502
meta_adaptive,262144,6,loop,0,16.26506494358182,12.801
meta_adaptive,262144,6,loop,1,14.907495002262294,11.804
meta_adaptive,262144,6,loop,2,15.430317958816886,12.855
meta_adaptive,262144,9,loop,0,14.566006022505462,11.859
meta_adaptive,262144,9,loop,1,15.445710974745452,12.549
meta_adaptive,262144,9,loop,2,17.793760052882135,12.123
meta_adaptive,1048576,1,loop,0,49.34892593882978,45.968
meta_adaptive,1048576,1,loop,1,50.520636956207454,47.242
meta_adaptive,1048576,1,loop,2,50.460581900551915,46.811
meta_adaptive,1048576,6,loop,0,50.616440013982356,47.128
meta_adaptive,1048576,6,loop,1,51.518182968720794,48.237
meta_adaptive,1048576,6,loop,2,55.30204903334379,52.096
